State,2015,2014,2013,2012,2011,,,,,
Alabama,1,1,1,1,1,,,,Divided ,0
Alaska,0,1,1,0,0,,,,Repub,1
Arizona,1,1,1,1,1,,,,Dem,2
Arkansas,1,0,0,2,2,,,,,
California,2,2,2,2,2,,,,,
Colorado,0,2,2,0,0,,,,,
Connecticut,2,2,2,2,2,,,,,
Delaware,2,2,2,2,2,,,,,
Florida,1,1,1,1,1,,,,,
Georgia,1,1,1,1,1,,,,,
Hawaii,2,2,2,2,2,,,,,
Idaho,1,1,1,1,1,,,,,
Illinois,0,2,2,2,2,,,,,
Indiana,1,1,1,1,1,,,,,
Iowa,0,0,0,0,0,,,,,
Kansas,1,1,1,1,1,,,,,
Kentucky,0,0,0,0,0,,,,,
Louisiana,1,1,1,1,0,,,,,
Maine,0,0,0,1,1,,,,,
Maryland,0,2,2,2,2,,,,,
Massachusetts,0,2,2,2,2,,,,,
Michigan,1,1,1,1,1,,,,,
Minnesota,0,2,2,0,0,,,,,
Mississippi,1,1,1,1,0,,,,,
Missouri,0,0,0,0,0,,,,,
Montana,0,0,0,0,0,,,,,
Nebraska,NA,NA,NA,NA,NA,,,,,
Nevada,1,0,0,0,0,,,,,
New Hampshire,0,0,0,0,0,,,,,
New Jersey,0,0,0,0,0,,,,,
New Mexico,0,0,0,0,0,,,,,
New York,0,2,2,0,0,,,,,
North Carolina,1,1,1,0,0,,,,,
North Dakota,1,1,1,1,1,,,,,
Ohio,1,1,1,1,1,,,,,
Oklahoma,1,1,1,1,1,,,,,
Oregon,2,2,2,0,0,,,,,
Pennsylvania,0,1,1,1,1,,,,,
Rhode Island,1,1,0,0,0,,,,,
South Carolina,1,1,1,1,1,,,,,
South Dakota,1,1,1,1,1,,,,,
Tennessee,1,1,1,1,1,,,,,
Texas,1,1,1,1,1,,,,,
Utah,1,1,1,1,1,,,,,
Vermont,2,2,2,2,2,,,,,
Virginia,0,0,0,0,0,,,,,
Washington,0,2,2,2,2,,,,,
West Virginia,0,2,2,2,2,,,,,
Wisconsin,1,1,1,1,1,,,,,
Wyoming,1,1,1,1,1,,,,,
